id,name,type,color,calorie,description
1,огурец,овощ,зеленый,14,"однолетнее травянистое растение, вид рода Огурец (Cucumis) семейства Тыквенные (Cucurbitaceae), овощная культура."
2,помидор,овощ,красный,20,"однолетнее или многолетнее травянистое растение, вид рода Паслён (Solanum)[1] семейства Паслёновые (Solanaceae). Возделывается как овощная культура; выращивается ради съедобных плодов — сочных многогнёздных ягод различной формы и окраски, также называемых томатами или помидорами."
3,"болгарский перец",овощ,красный,20,"сельскохозяйственная овощная культура. Многолетний полукустарник, но в условиях умеренного климата обычно выращивается как однолетнее растение. "
4,яблоко,фрукт,зеленый,52,"Яблоко — сочный плод яблони, который употребляется в пищу в свежем и запеченном виде, служит сырьём в кулинарии и для приготовления напитков. "
5,банан,фрукт,желтый,89,"название съедобных плодов культивируемых растений рода Банан (Musa); обычно под таковыми понимают Musa acuminata и Musa × paradisiaca, а также Musa balbisiana, Musa fehi[en], Musa troglodytarum[en] и ряд других. "
7,морковь,овощ,оранжевый,41,"двулетнее растение, овощная культура, подвид вида морковь дикая. Обычно в быту под словом «морковь» подразумевается широко распространённый корнеплод именно этого растения, который обычно относят к овощам. "
8,груша,фрукт,зеленый,57,"род плодовых и декоративных деревьев и кустарников семейства розовые (Rosaceae). "
9,гранат,фрукт,красный,83,"род кустарников и небольших деревьев семейства Дербенниковые (Lythraceae), прежде считался монотипным[2] и помещался в отдельное, ныне упразднённое, семейство Гранатовые (Punicaceae). "
10,капуста,овощ,белый,25," одомашненное более 3 500 лет назад двулетнее растение рода Капуста (лат. Brassica) семейства Капустные (Крестоцветные), важная сельскохозяйственная культура, популярное овощное и декоративное растение. "
11,апельсин,фрукт,оранжевый,47," плодовое дерево; вид рода Цитрус семейства Рутовые, а также плод этого дерева. "
